crime_category;crime_type;chrgcnt;ucr;district;beat_number;map_reference;incident_number;time_from;time_to;date_from;date_to;crimeday;location_category;lat;lon;apartment_complex;residential_subdivision;activity_date;phxrecordstatus;phxcommunity;phxstatus;record;offensecategory;violentproperty;timeframe;domestic;location;period;radio;street
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;112;P027;17007630;0001-01-01 17:50:15+00:00;0001-01-01 17:53:16+00:00;2017-09-04;09/04/2017;MONDAY;TOWN OWNED;35.760212065;-78.78200313;;SHOPPES OF KILDAIRE;;;No;;23901;Alcohol Offenses;Part II;"""Last Year;Last Month;Last 3 Months;Last 6 Months""";N;"35.760212065; -78.78200313";"""Everything;Last Year;Last Month;Last 3 Months;Last 6 Months""";Everything,Last Year, Last Month, Last 3 Months, Last 6 Months;KILDAIRE FARM RD
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;112;P028;17004523;0001-01-01 16:18:00+00:00;0001-01-01 16:19:00+00:00;2017-05-27;05/27/2017;SATURDAY;TOWN OWNED;35.765437855;-78.77016655;;;;;No;;23916;Alcohol Offenses;Part II;"""Last Year;Last 6 Months""";N;"35.765437855; -78.77016655";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;GREENWOOD CIR
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;112;P083;17004701;0001-01-01 11:47:00+00:00;0001-01-01 11:47:00+00:00;2017-06-02;06/02/2017;FRIDAY;TOWN OWNED;35.762730718;-78.74570839;;;;;No;;23964;Alcohol Offenses;Part II;"""Last Year;Last 6 Months""";N;"35.762730718; -78.74570839";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;BUCK JONES RD/WALNUT ST
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;112;P083;17006814;0001-01-01 19:15:59+00:00;0001-01-01 19:17:00+00:00;2017-08-10;08/10/2017;THURSDAY;TOWN OWNED;35.767690976;-78.740973;;COUNTY JURISDICTION;;;No;;23967;Alcohol Offenses;Part II;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.767690976; -78.740973";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;NOTTINGHAM DR
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;112;P083;17007347;0001-01-01 02:28:04+00:00;0001-01-01 02:28:05+00:00;2017-08-27;08/27/2017;SUNDAY;TOWN OWNED;35.76215792;-78.74506048;;;;;No;;23968;Alcohol Offenses;Part II;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.76215792; -78.74506048";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;WALNUT
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;113;;16008698;0001-01-01 20:15:14+00:00;0001-01-01 20:15:15+00:00;2016-10-10;10/10/2016;MONDAY;TOWN OWNED;;;;;;;No;;23975;Alcohol Offenses;Part II;"""Last Year""";N;;"""Everything;Last Year""";Everything,Last Year;N HARRISON AVE/W BOUNDARY ST
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;113;P032;16009380;0001-01-01 12:33:13+00:00;0001-01-01 12:33:14+00:00;2016-11-01;11/01/2016;TUESDAY;TOWN OWNED;35.791366902;-78.78218891;;TCAP ZONE;;;No;;24082;Alcohol Offenses;Part II;"""Last Year""";N;"35.791366902; -78.78218891";"""Everything;Last Year""";Everything,Last Year;CHAPEL HILL RD
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;113;P032;17007835;0001-01-01 22:35:00+00:00;0001-01-01 22:35:00+00:00;2017-09-10;09/10/2017;SUNDAY;TOWN OWNED;35.794419319;-78.78314804;;;;;No;;24088;Alcohol Offenses;Part II;"""Last Year;Last Month;Last 3 Months;Last 6 Months""";;"35.794419319; -78.78314804";"""Everything;Last Year;Last Month;Last 3 Months;Last 6 Months""";Everything,Last Year, Last Month, Last 3 Months, Last 6 Months;W BOUNDARY ST/N HARRISON AV
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;113;P034;17004231;0001-01-01 20:07:00+00:00;0001-01-01 20:07:00+00:00;2017-05-18;05/18/2017;THURSDAY;TOWN OWNED;35.795165448;-78.76343141;;;;;No;;24182;Alcohol Offenses;Part II;"""Last Year;Last 6 Months""";N;"35.795165448; -78.76343141";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;CHAPEL HILL RD/NE MAYNARD RD
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;113;P060;16008897;0001-01-01 02:49:30+00:00;0001-01-01 02:49:31+00:00;2016-10-17;10/17/2016;MONDAY;TOWN OWNED;35.794710182;-78.76295896;;CENTRAL ZONE;;;No;;24217;Alcohol Offenses;Part II;"""Last Year""";N;"35.794710182; -78.76295896";"""Everything;Last Year""";Everything,Last Year;NE MAYNARD RD
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;114;P026;17005051;0001-01-01 01:10:45+00:00;0001-01-01 01:10:46+00:00;2017-06-14;06/14/2017;WEDNESDAY;TOWN OWNED;35.788787396;-78.78384806;;TCAP ZONE;;;No;;24294;Alcohol Offenses;Part II;"""Last Year;Last 6 Months""";N;"35.788787396; -78.78384806";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;N HARRISON AV
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;114;P036;17001931;0001-01-01 16:53:00+00:00;0001-01-01 16:53:00+00:00;2017-03-06;03/06/2017;MONDAY;TOWN OWNED;35.771671335;-78.79283826;;MAYNARD LOOP ZONE;;;No;;24379;Alcohol Offenses;Part II;"""Last Year""";N;"35.771671335; -78.79283826";"""Everything;Last Year""";Everything,Last Year;SW MAYNARD RD/LAKE PINE DR
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;114;P036;17002291;0001-01-01 12:22:00+00:00;0001-01-01 12:23:00+00:00;2017-03-18;03/18/2017;SATURDAY;TOWN OWNED;35.772384737;-78.78315023;;MAYFAIR PLAZA;;;No;;24380;Alcohol Offenses;Part II;"""Last Year""";N;"35.772384737; -78.78315023";"""Everything;Last Year""";Everything,Last Year;KILDAIRE FARM RD
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;114;P036;17003930;0001-01-01 04:20:06+00:00;0001-01-01 04:40:07+00:00;2017-05-10;05/10/2017;WEDNESDAY;TOWN OWNED;35.7714208;-78.78734943;;BRIARCLIFF;;;No;;24382;Alcohol Offenses;Part II;"""Last Year;Last 6 Months""";N;"35.7714208; -78.78734943";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;SW MAYNARD RD
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;114;P036;17005767;0001-01-01 19:20:00+00:00;0001-01-01 19:25:00+00:00;2017-07-07;07/07/2017;FRIDAY;TOWN OWNED;35.771366192;-78.78735466;;;;;No;;24386;Alcohol Offenses;Part II;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.771366192; -78.78735466";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;SW MAYNARD RD/POND ST
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;115;P038;17005380;0001-01-01 23:24:10+00:00;0001-01-01 23:24:11+00:00;2017-06-24;06/24/2017;SATURDAY;TOWN OWNED;35.763409074;-78.79504368;;;;;No;;24477;Alcohol Offenses;Part II;"""Last Year;Last 6 Months""";N;"35.763409074; -78.79504368";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;TWO CREEKS RD/PLANETREE LN
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;115;P040;17006019;0001-01-01 22:13:42+00:00;0001-01-01 22:14:43+00:00;2017-07-15;07/15/2017;SATURDAY;TOWN OWNED;35.753830365;-78.81009567;;REX MEDICAL OFFICE;;;No;;24505;Alcohol Offenses;Part II;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.753830365; -78.81009567";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;SW CARY PKWY
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;115;P042;16011206;0001-01-01 21:48:16+00:00;0001-01-01 21:48:17+00:00;2016-12-25;12/25/2016;SUNDAY;TOWN OWNED;35.737154778;-78.79085003;;;;;No;;24521;Alcohol Offenses;Part II;"""Last Year""";;"35.737154778; -78.79085003";"""Everything;Last Year""";Everything,Last Year;US 1 HWY/US 64 HWY
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;115;P042;17000400;0001-01-01 16:00:00+00:00;0001-01-01 16:01:00+00:00;2017-01-14;01/14/2017;SATURDAY;TOWN OWNED;35.742418765;-78.80368591;;QUEENSBURY WEST;;;No;;24522;Alcohol Offenses;Part II;"""Last Year""";N;"35.742418765; -78.80368591";"""Everything;Last Year""";Everything,Last Year;TAIN CT
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;115;P042;17005713;0001-01-01 03:35:00+00:00;0001-01-01 03:35:00+00:00;2017-07-06;07/06/2017;THURSDAY;TOWN OWNED;35.751101291;-78.78648442;;;;;No;;24524;Alcohol Offenses;Part II;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.751101291; -78.78648442";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;QUEENSFERRY RD/KILARNEY DR
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;116;P052;17005682;0001-01-01 03:51:15+00:00;0001-01-01 03:51:16+00:00;2017-07-05;07/05/2017;WEDNESDAY;TOWN OWNED;35.716238532;-78.78848862;;WINDSOR OAKS;;;No;;24599;Alcohol Offenses;Part II;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.716238532; -78.78848862";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;KILDAIRE FARM RD
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D2;117;;17002129;0001-01-01 12:00:00+00:00;0001-01-01 18:51:14+00:00;2017-03-12;03/12/2017;SUNDAY;TOWN OWNED;35.771748429;-78.83273966;;;;;No;;24618;Alcohol Offenses;Part II;"""Last Year""";N;"35.771748429; -78.83273966";"""Everything;Last Year""";Everything,Last Year;SW CARY PKWY/HEATHRIDGE LN
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D2;117;P001;17005175;0001-01-01 23:08:00+00:00;0001-01-01 23:08:00+00:00;2017-06-17;06/17/2017;SATURDAY;TOWN OWNED;35.781024183;-78.82537225;;FRED G BOND PARK;;;No;;24625;Alcohol Offenses;Part II;"""Last Year;Last 6 Months""";N;"35.781024183; -78.82537225";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;METRO PARK DR
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D2;117;P018;16008849;0001-01-01 09:49:09+00:00;0001-01-01 09:49:10+00:00;2016-10-15;10/15/2016;SATURDAY;TOWN OWNED;35.789244883;-78.82980536;;PRESTON CORNERS SHOP CENTER;;;No;;24682;Alcohol Offenses;Part II;"""Last Year""";;"35.789244883; -78.82980536";"""Everything;Last Year""";Everything,Last Year;SW CARY PKWY
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D2;117;P018;17002296;0001-01-01 03:47:00+00:00;0001-01-01 03:47:00+00:00;2017-03-18;03/18/2017;SATURDAY;TOWN OWNED;35.782165155;-78.8474839;;SHERBORNE;;;No;;24683;Alcohol Offenses;Part II;"""Last Year""";;"35.782165155; -78.8474839";"""Everything;Last Year""";Everything,Last Year;SWORDGATE DR/WALDO ROOD BLVD
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D2;117;P071;16008492;0001-01-01 14:11:47+00:00;0001-01-01 14:11:48+00:00;2016-10-03;10/03/2016;MONDAY;TOWN OWNED;35.779799726;-78.85025044;;DAVIS DRIVE ELEMENTARY SCHOOL;;;No;;24744;Alcohol Offenses;Part II;"""Last Year""";;"35.779799726; -78.85025044";"""Everything;Last Year""";Everything,Last Year;DAVIS DR
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D2;117;P118;17001501;0001-01-01 03:00:02+00:00;0001-01-01 03:00:03+00:00;2017-02-19;02/19/2017;SUNDAY;TOWN OWNED;35.787695286;-78.87077765;;WEST PARK PLACE SHOP CENTER;;;No;;24755;Alcohol Offenses;Part II;"""Last Year""";N;"35.787695286; -78.87077765";"""Everything;Last Year""";Everything,Last Year;HIGH HOUSE RD
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D2;117;P118;17007355;0001-01-01 11:32:00+00:00;0001-01-01 11:32:00+00:00;2017-08-27;08/27/2017;SUNDAY;TOWN OWNED;35.785552265;-78.87114815;;WEST PARK PLACE SHOP CENTER;;;No;;24756;Alcohol Offenses;Part II;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.785552265; -78.87114815";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;NC 55 HWY
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;118;P004;16008632;0001-01-01 06:59:53+00:00;0001-01-01 06:59:54+00:00;2016-10-08;10/08/2016;SATURDAY;TOWN OWNED;35.74345836;-78.76256355;;;;;No;;24786;Alcohol Offenses;Part II;"""Last Year""";N;"35.74345836; -78.76256355";"""Everything;Last Year""";Everything,Last Year;SE CARY PKWY/TRYON RD
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D3;118;P045;17004587;0001-01-01 12:20:14+00:00;0001-01-01 12:27:15+00:00;2017-05-30;05/30/2017;TUESDAY;TOWN OWNED;35.756374978;-78.73001381;LEGACY CROSSROADS APTS.;LEGACY CROSSROADS;16JAN2013;Active;Yes;Active;24817;Alcohol Offenses;Part II;"""Last Year;Last 6 Months""";N;"35.756374978; -78.73001381";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;HAVERS DR
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;120;P002;17002287;0001-01-01 23:20:00+00:00;0001-01-01 23:20:00+00:00;2017-03-17;03/17/2017;FRIDAY;TOWN OWNED;35.789652558;-78.74864159;;CENTRAL ZONE;;;No;;24938;Alcohol Offenses;Part II;"""Last Year""";N;"35.789652558; -78.74864159";"""Everything;Last Year""";Everything,Last Year;E CHATHAM ST/TRAVIS PARK DR
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;120;P055;16011242;0001-01-01 15:10:00+00:00;0001-01-01 15:11:00+00:00;2016-12-27;12/27/2016;TUESDAY;TOWN OWNED;35.791609999;-78.76515983;;CHATHAM SQUARE SHOPPING CENTER;;;No;;24985;Alcohol Offenses;Part II;"""Last Year""";N;"35.791609999; -78.76515983";"""Everything;Last Year""";Everything,Last Year;E CHATHAM ST
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;120;P055;17000604;0001-01-01 23:17:21+00:00;0001-01-01 23:17:22+00:00;2017-01-20;01/20/2017;FRIDAY;TOWN OWNED;35.787946553;-78.78116763;;TCAP ZONE;;;No;;24986;Alcohol Offenses;Part II;"""Last Year""";N;"35.787946553; -78.78116763";"""Everything;Last Year""";Everything,Last Year;N ACADEMY ST
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;120;P055;17001648;0001-01-01 17:17:37+00:00;0001-01-01 17:18:38+00:00;2017-02-24;02/24/2017;FRIDAY;TOWN OWNED;35.787313875;-78.78118155;;TCAP ZONE;;;No;;24988;Alcohol Offenses;Part II;"""Last Year""";N;"35.787313875; -78.78118155";"""Everything;Last Year""";Everything,Last Year;N ACADEMY ST/E CHATHAM ST
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;120;P058;17001063;0001-01-01 23:15:24+00:00;0001-01-01 23:15:25+00:00;2017-02-05;02/05/2017;SUNDAY;TOWN OWNED;35.780820247;-78.76415188;OXFORD SQUARE APTS.;;24AUG2011;Active;Yes;Active;25053;Alcohol Offenses;Part II;"""Last Year""";N;"35.780820247; -78.76415188";"""Everything;Last Year""";Everything,Last Year;SE MAYNARD RD/VILLAGE GREENWAY
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;120;P061;17003729;0001-01-01 15:40:38+00:00;0001-01-01 15:40:39+00:00;2017-05-03;05/03/2017;WEDNESDAY;TOWN OWNED;35.776938436;-78.764663;;CARY VILLAGE SQUARE;;;No;;25116;Alcohol Offenses;Part II;"""Last Year;Last 6 Months""";;"35.776938436; -78.764663";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;SE MAYNARD RD
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D1;120;P125;17005636;0001-01-01 17:58:00+00:00;0001-01-01 17:58:00+00:00;2017-07-02;07/02/2017;SUNDAY;TOWN OWNED;35.782788311;-78.77830096;;;;;No;;25174;Alcohol Offenses;Part II;"""Last Year;Last 6 Months""";N;"35.782788311; -78.77830096";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;WALNUT ST
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D2;121;;17000542;0001-01-01 11:05:00+00:00;0001-01-01 11:05:00+00:00;2017-01-19;01/19/2017;THURSDAY;TOWN OWNED;;;;;;;No;;25177;Alcohol Offenses;Part II;"""Last Year""";N;;"""Everything;Last Year""";Everything,Last Year;TRAVERINE DR
ALL OTHER;DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS;;2100;D2;121;;17001745;0001-01-01 22:45:00+00:00;0001-01-01 22:45:00+00:00;2017-02-27;02/27/2017;MONDAY;TOWN OWNED;;;;;;;No;;25178;Alcohol Offenses;Part II;"""Last Year""";N;;"""Everything;Last Year""";Everything,Last Year;COMMON WALK CIR
ALL OTHER;EMBEZZLEMENT - ALL OTHER;;1290;D1;111;P024;17005521;0001-01-01 05:53:00+00:00;0001-01-01 17:00:00+00:00;2017-05-27;06/13/2017;TUESDAY;TOWN OWNED;35.802989993;-78.78333796;;NORTHWOODS UNDEV;;;No;;25305;Embezzlement;Part II;"""Last Year;Last 6 Months""";N;"35.802989993; -78.78333796";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;N HARRISON AV
ALL OTHER;EMBEZZLEMENT - ALL OTHER;;1290;D1;113;P034;17004423;0001-01-01 10:45:00+00:00;0001-01-01 13:45:00+00:00;2017-02-13;04/20/2017;THURSDAY;TOWN OWNED;35.794817848;-78.74815513;;CENTRAL ZONE;;;No;;25433;Embezzlement;Part II;"""Last Year;Last 6 Months""";N;"35.794817848; -78.74815513";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;CHAPEL HILL RD
ALL OTHER;EMBEZZLEMENT - ALL OTHER;;1290;D3;116;P053;17007021;0001-01-01 08:00:00+00:00;0001-01-01 09:00:58+00:00;2017-04-01;07/17/2017;MONDAY;TOWN OWNED;35.735538569;-78.78065434;;CRESCENT COMMONS SHOP CENTER;;;No;;25612;Embezzlement;Part II;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.735538569; -78.78065434";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;KILDAIRE FARM RD
ALL OTHER;EMBEZZLEMENT - ALL OTHER;;1290;D2;117;P118;16010355;0001-01-01 21:00:00+00:00;0001-01-01 09:03:33+00:00;2016-11-14;12/02/2016;FRIDAY;TOWN OWNED;35.785832812;-78.87000345;;WEST PARK PLACE SHOP CENTER;;;No;;25651;Embezzlement;Part II;"""Last Year""";N;"35.785832812; -78.87000345";"""Everything;Last Year""";Everything,Last Year;NC 55 HWY
ALL OTHER;EMBEZZLEMENT - ALL OTHER;;1290;D2;117;P118;16010749;0001-01-01 12:00:00+00:00;0001-01-01 12:00:00+00:00;2016-11-14;12/13/2016;TUESDAY;TOWN OWNED;35.786081726;-78.87172263;;HIGH HOUSE CROSSING SHOP CENTE;;;No;;25652;Embezzlement;Part II;"""Last Year""";N;"35.786081726; -78.87172263";"""Everything;Last Year""";Everything,Last Year;NC 55 HWY
ALL OTHER;EMBEZZLEMENT - ALL OTHER;;1290;D2;117;P118;17002099;0001-01-01 15:45:00+00:00;0001-01-01 15:50:00+00:00;2017-03-11;03/11/2017;SATURDAY;TOWN OWNED;35.786081891;-78.87172263;;HIGH HOUSE CROSSING SHOP CENTE;;;No;;25653;Embezzlement;Part II;"""Last Year""";N;"35.786081891; -78.87172263";"""Everything;Last Year""";Everything,Last Year;NC 55 HWY
ALL OTHER;EMBEZZLEMENT - ALL OTHER;;1290;D3;118;P046;17008293;0001-01-01 13:55:51+00:00;0001-01-01 13:55:52+00:00;2017-09-07;09/21/2017;THURSDAY;TOWN OWNED;35.744788451;-78.73860473;;;;;No;;25800;Embezzlement;Part II;"""Last Year;Last Month;Last 3 Months;Last 6 Months""";N;"35.744788451; -78.73860473";"""Everything;Last Year;Last Month;Last 3 Months;Last 6 Months""";Everything,Last Year, Last Month, Last 3 Months, Last 6 Months;JONES FRANKLIN RD
ALL OTHER;EMBEZZLEMENT - ALL OTHER;;1290;D3;118;P120;17001062;0001-01-01 21:00:00+00:00;0001-01-01 22:00:00+00:00;2017-02-05;02/05/2017;SUNDAY;TOWN OWNED;35.758150292;-78.73940464;;WALNUT PLAZA;;;No;;25824;Embezzlement;Part II;"""Last Year""";N;"35.758150292; -78.73940464";"""Everything;Last Year""";Everything,Last Year;WALNUT ST
ALL OTHER;EMBEZZLEMENT - ALL OTHER;;1290;D2;119;P124;17000736;0001-01-01 12:00:00+00:00;0001-01-01 13:26:01+00:00;2017-01-13;01/25/2017;WEDNESDAY;TOWN OWNED;35.844420251;-78.88559908;;PARKSIDE TOWN COMMONS;;;No;;25835;Embezzlement;Part II;"""Last Year""";N;"35.844420251; -78.88559908";"""Everything;Last Year""";Everything,Last Year;OKELLY CHAPEL RD
ALL OTHER;EMBEZZLEMENT - ALL OTHER;;1290;D2;122;P015;16008991;0001-01-01 12:00:00+00:00;0001-01-01 17:40:00+00:00;2016-09-26;10/17/2016;MONDAY;TOWN OWNED;35.820615081;-78.90104814;;CARY PARK TOWN CENTER;;;No;;25998;Embezzlement;Part II;"""Last Year""";N;"35.820615081; -78.90104814";"""Everything;Last Year""";Everything,Last Year;GREEN LEVEL CHURCH RD
ALL OTHER;FORGERY - PHARMACEUTICAL USING/UTTERING PRESCRIPTIONS;;1015;D3;116;P053;16008968;0001-01-01 18:50:00+00:00;0001-01-01 18:59:00+00:00;2016-10-18;10/18/2016;TUESDAY;TOWN OWNED;35.737431915;-78.77936872;;WAVERLY PLACE;;;No;;26633;Forgery;Part II;"""Last Year""";N;"35.737431915; -78.77936872";"""Everything;Last Year""";Everything,Last Year;ADVENT CT
ALL OTHER;FORGERY - PHARMACEUTICAL USING/UTTERING PRESCRIPTIONS;;1015;D3;118;P046;16010045;0001-01-01 09:46:33+00:00;0001-01-01 09:46:34+00:00;2016-11-22;11/22/2016;TUESDAY;TOWN OWNED;35.745074528;-78.74005335;;SOUTHEAST ZONE;;;No;;26636;Forgery;Part II;"""Last Year""";N;"35.745074528; -78.74005335";"""Everything;Last Year""";Everything,Last Year;TRYON RD
ALL OTHER;FORGERY - USING/UTTERING;;1015;D1;114;P026;16009815;0001-01-01 17:23:00+00:00;0001-01-01 17:23:00+00:00;2016-11-14;11/14/2016;MONDAY;TOWN OWNED;35.798011723;-78.79596344;;MAYNARD LOOP ZONE;;;No;;26847;Forgery;Part II;"""Last Year""";N;"35.798011723; -78.79596344";"""Everything;Last Year""";Everything,Last Year;CHAPEL HILL RD
ALL OTHER;FORGERY - USING/UTTERING;;1015;D1;114;P026;17002928;0001-01-01 12:00:00+00:00;0001-01-01 12:00:00+00:00;2017-03-31;03/31/2017;FRIDAY;TOWN OWNED;35.780997205;-78.80746953;;PLANTERS POINTE TOWNHOMES;;;No;;26849;Forgery;Part II;"""Last Year;Last 6 Months""";N;"35.780997205; -78.80746953";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;SHADY MEADOW CIR
ALL OTHER;FORGERY - USING/UTTERING;;1015;D3;116;P053;17003444;0001-01-01 13:30:00+00:00;0001-01-01 13:35:00+00:00;2017-04-25;04/25/2017;TUESDAY;TOWN OWNED;35.736207641;-78.78611137;;REGENCY PARK;;;No;;27046;Forgery;Part II;"""Last Year;Last 6 Months""";N;"35.736207641; -78.78611137";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;TRYON RD
ALL OTHER;FORGERY - USING/UTTERING;;1015;D2;122;P072;17005094;0001-01-01 12:00:00+00:00;0001-01-01 12:00:00+00:00;2016-12-23;12/23/2016;FRIDAY;TOWN OWNED;35.803188029;-78.89014275;;GREEN HOPE CROSSING SUBDIVISION;;;No;;27324;Forgery;Part II;"""Last Year;Last 6 Months""";N;"35.803188029; -78.89014275";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;ALAMOSA PL
ALL OTHER;FORGERY - USING/UTTERING;;1015;D2;122;P077;17000308;0001-01-01 12:00:00+00:00;0001-01-01 12:00:00+00:00;2017-01-09;01/09/2017;MONDAY;TOWN OWNED;35.794749146;-78.88502864;;RESERVE, THE;;;No;;27327;Forgery;Part II;"""Last Year""";N;"35.794749146; -78.88502864";"""Everything;Last Year""";Everything,Last Year;TAVERNELLE PL
ALL OTHER;FORGERY - USING/UTTERING;;1015;D2;122;P077;17004609;0001-01-01 09:00:00+00:00;0001-01-01 12:00:00+00:00;2017-04-27;05/27/2017;SATURDAY;TOWN OWNED;35.793420241;-78.87467838;;RESERVE, THE;;;No;;27328;Forgery;Part II;"""Last Year;Last 6 Months""";N;"35.793420241; -78.87467838";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;EDGEMORE AV
ALL OTHER;FORGERY - USING/UTTERING;;1015;D2;122;P081;17007190;0001-01-01 08:00:00+00:00;0001-01-01 23:59:00+00:00;2017-08-01;08/02/2017;WEDNESDAY;TOWN OWNED;35.822103355;-78.9070844;;;;;No;;27330;Forgery;Part II;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.822103355; -78.9070844";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;MARBLE GLOW CT
